0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,0,0,0,0,0,0,0,0,0,0,0,0
0,(fruit),0,0,0,0,0,0,0,0,0,0,0,0
0,(fruit),0,0,0,0,0,0,0,0,0,0,0,0
0,(fruit),0,0,0,0,0,0,0,0,0,0,0,0
0,E,(animal),(animal),P,(animal),(animal),(animal),T,0,0,0,0,0
0,0,i,0,h,0,0,0,(your childhood partner),0,0,0,0,0
0,0,g,0,i,0,0,0,(your childhood partner),0,0,0,0,0
0,0,h,0,l,0,0,0,S,(family member),N,0,0,0
0,0,T,0,o,0,0,0,0,0,i,0,0,0
0,0,0,0,s,0,0,0,0,0,g,0,0,0
0,0,0,0,o,0,0,0,0,0,h,0,0,0
0,0,0,0,P,r,o,p,e,r,T,y,0,0
0,0,0,0,h,0,0,0,0,0,0,0,0,0
0,0,0,0,y,E,l,l,o,W,0,0,0,0
0,0,0,0,0,0,0,0,0,o,0,0,0,0
0,0,0,0,0,0,0,0,0,R,0,0,0,0
0,0,0,0,0,0,0,0,0,K,n,i,f,E
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
