0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,0,0,0,0,0,0,0,0,0,0,0,0
0,p(fruit) d,0,0,0,0,0,0,0,0,0,0,0,0
0,p(fruit) d,0,0,0,0,0,0,0,0,0,0,0,0
0,l(fruit) dr,0,0,0,0,0,0,0,0,0,0,0,0
0,E,l(animal) r,e(animal) 0,P,h(animal) r,a(animal) r,n(animal) 0,T,0,0,0,0,0
0,0,i,0,h,0,0,0,o,0,0,0,0,0
0,0,g,0,i,0,0,0,y,0,0,0,0,0
0,0,h,0,l,0,0,0,S,o,N,0,0,0
0,0,T,0,o,0,0,0,0,0,i,0,0,0
0,0,0,0,s,0,0,0,0,0,g,0,0,0
0,0,0,0,o,0,0,0,0,0,h,0,0,0
0,0,0,0,P,r,o,p,e,r,T,y,0,0
0,0,0,0,h,0,0,0,0,0,0,0,0,0
0,0,0,0,y,E,l,l,o,W,0,0,0,0
0,0,0,0,0,0,0,0,0,o,0,0,0,0
0,0,0,0,0,0,0,0,0,r,0,0,0,0
0,0,0,0,0,0,0,0,0,K,n,i,f,E
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
